service_id,service_date,month,city,service_center,vehicle_model,vehicle_age_years,mileage_km,service_type,complaint_category,warranty_status,parts_cost_inr,labor_cost_inr,total_bill_inr,turnaround_hours,customer_rating,repeat_visit_30d,technician_experience_years,payment_mode
SRV-00514,2025-06-17,Jun,Nagpur,Wardha Road Auto Care,Taigun,2.7,39184,Scheduled Maintenance,Engine,Under Warranty,1790,1550,3940,11.4,4.6,No,4,UPI
SRV-00515,2025-09-30,Sep,Mumbai,Thane Auto Care,Taigun,5.0,44604,Repair,General Service,Under Warranty,1980,2710,5530,13.5,4.6,No,3,UPI
SRV-00516,2025-01-19,Jan,Pune,Hadapsar Workshop,Virtus,1.7,25069,Inspection,General Service,Under Warranty,250,1090,1580,5.2,4.9,No,5,Credit Card
SRV-00517,2025-01-23,Jan,Mumbai,Andheri Service Hub,Virtus,3.7,46921,Inspection,Air Conditioning,Out of Warranty,2350,1510,4550,7.4,5.0,No,6,Net Banking
SRV-00518,2025-03-05,Mar,Pune,Baner Auto Care,Taigun,2.5,45351,Repair,Electrical,Out of Warranty,15100,4570,23210,19.7,4.5,No,4,Debit Card
SRV-00519,2025-08-11,Aug,Nagpur,Wardha Road Auto Care,Virtus,1.5,18834,Repair,Brakes,Under Warranty,4460,2000,7620,14.3,4.9,No,1,UPI
SRV-00520,2025-12-16,Dec,Mumbai,Navi Mumbai Workshop,Taigun,1.4,30022,Scheduled Maintenance,General Service,Under Warranty,1110,1380,2940,1.0,5.0,No,11,Credit Card
SRV-00521,2025-03-24,Mar,Mumbai,Thane Auto Care,Virtus,2.2,27534,Repair,Engine,Under Warranty,4740,2310,8320,17.3,4.3,No,3,UPI
SRV-00522,2025-05-07,May,Pune,Hadapsar Workshop,Virtus,4.6,57538,Scheduled Maintenance,General Service,Out of Warranty,3520,2330,6900,2.6,5.0,No,9,UPI
SRV-00523,2025-08-29,Aug,Pune,Baner Auto Care,Virtus,0.8,17447,Scheduled Maintenance,Tyres/Suspension,Under Warranty,1340,2090,4050,3.5,4.7,No,6,Debit Card
SRV-00524,2025-04-30,Apr,Mumbai,Thane Auto Care,Tiguan,5.2,68766,Emergency,Electrical,Under Warranty,5760,4490,12100,18.6,4.3,No,5,Debit Card
SRV-00525,2025-03-29,Mar,Mumbai,Thane Auto Care,Virtus,3.6,21687,Repair,Brakes,Under Warranty,5110,2880,9430,11.9,4.5,No,10,Cash
SRV-00526,2025-08-27,Aug,Mumbai,Andheri Service Hub,Polo,3.0,34486,Inspection,General Service,Out of Warranty,870,1860,3220,1.0,4.2,No,6,Debit Card
SRV-00527,2025-02-05,Feb,Nagpur,Wardha Road Auto Care,Taigun,3.9,34215,Repair,Electrical,Out of Warranty,8970,4850,16310,14.0,4.5,No,4,UPI
SRV-00528,2025-08-06,Aug,Nashik,College Road Auto Care,Virtus,2.9,32870,Repair,Electrical,Under Warranty,4860,2410,8580,14.4,4.0,No,7,UPI
SRV-00529,2025-07-19,Jul,Nashik,Ambad Service Hub,Polo,4.7,26908,Scheduled Maintenance,Electrical,Out of Warranty,4450,2330,8000,8.2,4.8,No,11,Cash
SRV-00530,2025-08-30,Aug,Mumbai,Thane Auto Care,Vento,8.7,120685,Repair,Engine,Out of Warranty,17180,5290,26510,19.2,3.7,No,7,Net Banking
SRV-00531,2025-09-27,Sep,Pune,Baner Auto Care,Polo,4.5,51929,Inspection,General Service,Out of Warranty,950,1300,2660,7.2,4.3,No,2,Debit Card
SRV-00532,2025-10-24,Oct,Pune,Hadapsar Workshop,Taigun,2.8,40247,Scheduled Maintenance,Brakes,Under Warranty,1270,2080,3950,4.3,4.4,No,5,Credit Card
SRV-00533,2025-11-27,Nov,Pune,Hadapsar Workshop,Virtus,1.0,16544,Scheduled Maintenance,Tyres/Suspension,Under Warranty,1840,1060,3420,3.6,5.0,No,10,Net Banking
SRV-00534,2025-12-25,Dec,Pune,Hadapsar Workshop,Tiguan,2.3,30477,Scheduled Maintenance,Engine,Under Warranty,3060,1340,5190,13.2,4.5,No,8,UPI
SRV-00535,2025-11-22,Nov,Pune,Hadapsar Workshop,Polo,2.7,20499,Scheduled Maintenance,General Service,Under Warranty,970,1140,2490,3.1,5.0,No,10,UPI
SRV-00536,2025-05-10,May,Nashik,Ambad Service Hub,Tiguan,5.4,49969,Scheduled Maintenance,Air Conditioning,Out of Warranty,6160,1830,9430,9.3,4.4,Yes,6,Net Banking
SRV-00537,2025-07-02,Jul,Mumbai,Thane Auto Care,Virtus,6.7,89769,Emergency,Engine,Out of Warranty,20050,9140,34440,25.0,3.1,No,10,Debit Card
SRV-00538,2025-07-15,Jul,Mumbai,Thane Auto Care,Virtus,2.5,39788,Emergency,Air Conditioning,Under Warranty,4320,3980,9790,18.2,3.6,No,4,UPI
SRV-00539,2025-04-16,Apr,Pune,Hadapsar Workshop,Virtus,4.0,39843,Scheduled Maintenance,Brakes,Out of Warranty,3640,2070,6740,3.9,5.0,No,10,UPI
SRV-00540,2025-08-26,Aug,Nagpur,Wardha Road Auto Care,Vento,6.0,53308,Repair,Electrical,Out of Warranty,11980,3460,18220,12.8,3.6,Yes,6,UPI
SRV-00541,2025-08-25,Aug,Pune,Wakad Service Hub,Polo,8.1,123977,Inspection,Electrical,Out of Warranty,1000,2080,3630,6.4,4.7,No,3,Debit Card
SRV-00542,2025-01-11,Jan,Pune,Hadapsar Workshop,Polo,6.3,73188,Emergency,Tyres/Suspension,Out of Warranty,20810,7870,33840,26.6,4.2,No,2,Debit Card
SRV-00543,2025-09-01,Sep,Pune,Hadapsar Workshop,Polo,8.1,126425,Repair,Engine,Out of Warranty,15850,4790,24360,18.9,4.4,No,7,UPI
SRV-00544,2025-09-19,Sep,Pune,Baner Auto Care,Polo,11.3,169809,Repair,Brakes,Out of Warranty,10050,4640,17330,15.1,3.4,Yes,6,UPI
SRV-00545,2025-12-26,Dec,Nagpur,Hingna Service Hub,Virtus,1.1,18423,Emergency,Engine,Under Warranty,8780,4200,15320,24.8,3.2,No,13,Debit Card
SRV-00546,2025-01-01,Jan,Mumbai,Navi Mumbai Workshop,Taigun,3.5,39017,Inspection,Brakes,Out of Warranty,2120,1370,4120,1.0,5.0,No,10,Debit Card
SRV-00547,2025-07-31,Jul,Pune,Hadapsar Workshop,Tiguan,7.2,87133,Scheduled Maintenance,General Service,Out of Warranty,2870,2460,6290,7.4,5.0,No,2,UPI
SRV-00548,2025-02-05,Feb,Nashik,College Road Auto Care,Polo,8.9,120843,Inspection,Engine,Out of Warranty,1890,2030,4630,7.0,4.6,No,6,UPI
SRV-00549,2025-10-10,Oct,Pune,Baner Auto Care,Polo,8.6,71577,Repair,General Service,Out of Warranty,10110,4860,17660,8.1,5.0,No,3,UPI
SRV-00550,2025-06-24,Jun,Pune,Baner Auto Care,Tiguan,4.3,43854,Repair,Engine,Out of Warranty,27910,3890,37520,21.1,4.4,No,10,Cash
SRV-00551,2025-02-23,Feb,Pune,Wakad Service Hub,Polo,10.3,150172,Recall,Electrical,Out of Warranty,1130,1530,3140,1.7,5.0,No,14,Credit Card
SRV-00552,2025-05-23,May,Mumbai,Andheri Service Hub,Taigun,0.1,11667,Scheduled Maintenance,General Service,Under Warranty,1430,1000,2870,1.0,4.7,No,7,UPI
SRV-00553,2025-12-29,Dec,Nashik,Ambad Service Hub,Virtus,3.6,58101,Scheduled Maintenance,General Service,Out of Warranty,3780,2640,7580,4.6,4.4,No,2,Debit Card
SRV-00554,2025-09-28,Sep,Nagpur,Hingna Service Hub,Tiguan,5.0,43816,Repair,General Service,Out of Warranty,12390,5440,21040,14.9,4.4,No,2,UPI
SRV-00555,2025-09-25,Sep,Nagpur,Hingna Service Hub,Polo,6.6,101524,Recall,Air Conditioning,Out of Warranty,1090,1080,2560,8.2,4.2,No,5,UPI
SRV-00556,2025-07-18,Jul,Pune,Hadapsar Workshop,Virtus,2.7,28433,Scheduled Maintenance,Brakes,Under Warranty,1720,1530,3840,5.3,4.9,No,5,Cash
SRV-00557,2025-03-06,Mar,Nashik,Ambad Service Hub,Polo,7.0,77519,Repair,General Service,Out of Warranty,11310,5550,19890,8.8,4.7,No,6,UPI
SRV-00558,2025-05-06,May,Nagpur,Wardha Road Auto Care,Taigun,0.1,13316,Emergency,General Service,Under Warranty,3130,3230,7500,22.3,3.9,No,5,UPI
SRV-00559,2025-03-08,Mar,Pune,Wakad Service Hub,Tiguan,8.5,103644,Scheduled Maintenance,General Service,Out of Warranty,5110,2620,9120,1.2,4.3,Yes,7,UPI
SRV-00560,2025-02-19,Feb,Nagpur,Wardha Road Auto Care,Polo,7.6,95810,Repair,Tyres/Suspension,Under Warranty,6390,2740,10770,14.8,4.6,No,14,UPI
SRV-00561,2025-07-11,Jul,Mumbai,Thane Auto Care,Polo,8.1,99215,Emergency,Engine,Out of Warranty,14900,7810,26800,22.8,2.9,Yes,9,UPI
SRV-00562,2025-08-19,Aug,Mumbai,Navi Mumbai Workshop,Vento,5.2,71055,Repair,Brakes,Out of Warranty,21840,4300,30850,10.2,3.6,Yes,14,UPI
SRV-00563,2025-09-30,Sep,Nagpur,Wardha Road Auto Care,Virtus,2.7,40218,Inspection,Brakes,Under Warranty,450,1000,1710,3.2,3.6,Yes,1,Debit Card
SRV-00564,2025-07-02,Jul,Pune,Hadapsar Workshop,Polo,8.8,127596,Repair,Electrical,Out of Warranty,14160,4800,22370,21.2,4.2,No,1,UPI
SRV-00565,2025-04-27,Apr,Pune,Hadapsar Workshop,Virtus,4.9,43906,Scheduled Maintenance,General Service,Under Warranty,1520,1780,3890,5.3,4.2,Yes,2,Debit Card
SRV-00566,2025-12-24,Dec,Pune,Hadapsar Workshop,Virtus,2.8,38081,Scheduled Maintenance,Tyres/Suspension,Out of Warranty,4020,2050,7160,8.9,4.8,No,4,Debit Card
SRV-00567,2025-04-22,Apr,Nagpur,Wardha Road Auto Care,Virtus,1.9,21663,Inspection,Engine,Under Warranty,470,1210,1980,1.0,4.9,No,16,Cash
SRV-00568,2025-11-09,Nov,Pune,Baner Auto Care,Vento,6.5,60784,Scheduled Maintenance,Brakes,Out of Warranty,2770,2750,6510,4.5,4.5,No,8,Credit Card
SRV-00569,2025-07-14,Jul,Nashik,Ambad Service Hub,Polo,7.3,55133,Recall,Electrical,Out of Warranty,690,1150,2170,13.8,4.2,No,7,Credit Card
SRV-00570,2025-04-16,Apr,Pune,Wakad Service Hub,Vento,3.1,40471,Emergency,Brakes,Under Warranty,11540,3500,17750,17.8,4.2,No,10,Net Banking
SRV-00571,2025-01-31,Jan,Mumbai,Navi Mumbai Workshop,Virtus,2.5,51119,Inspection,General Service,Under Warranty,480,930,1660,7.5,4.3,No,3,Debit Card
SRV-00572,2025-10-17,Oct,Pune,Baner Auto Care,Virtus,0.1,500,Scheduled Maintenance,General Service,Out of Warranty,4790,1760,7730,1.0,4.4,No,8,UPI
SRV-00573,2025-07-18,Jul,Nashik,Ambad Service Hub,Virtus,3.6,43130,Scheduled Maintenance,Brakes,Out of Warranty,4570,2850,8760,7.7,4.7,No,6,Credit Card
SRV-00574,2025-01-14,Jan,Nagpur,Hingna Service Hub,Virtus,1.5,17788,Repair,Engine,Under Warranty,5150,2680,9240,18.2,3.4,Yes,4,Credit Card
SRV-00575,2025-05-19,May,Mumbai,Navi Mumbai Workshop,Polo,5.9,70451,Scheduled Maintenance,General Service,Out of Warranty,2440,2300,5590,4.9,4.7,No,10,Debit Card
SRV-00576,2025-04-06,Apr,Pune,Baner Auto Care,Tiguan,0.2,8017,Scheduled Maintenance,General Service,Under Warranty,1920,1220,3710,1.0,4.5,No,3,UPI
SRV-00577,2025-07-22,Jul,Nashik,College Road Auto Care,Vento,2.1,30258,Scheduled Maintenance,General Service,Under Warranty,1150,2020,3740,4.8,4.7,No,1,UPI
SRV-00578,2025-06-21,Jun,Pune,Wakad Service Hub,Virtus,3.7,59918,Scheduled Maintenance,General Service,Under Warranty,1690,1620,3910,7.3,4.6,No,3,Debit Card
SRV-00579,2025-02-08,Feb,Nagpur,Hingna Service Hub,Virtus,3.0,34445,Repair,Tyres/Suspension,Out of Warranty,16600,4550,24960,21.4,3.1,Yes,10,Credit Card
SRV-00580,2025-10-16,Oct,Mumbai,Navi Mumbai Workshop,Polo,5.7,81875,Inspection,General Service,Out of Warranty,1310,1680,3530,5.2,4.5,No,4,Debit Card
SRV-00581,2025-01-23,Jan,Nagpur,Hingna Service Hub,Taigun,2.1,34339,Repair,Electrical,Under Warranty,5230,3280,10040,18.3,4.3,No,5,Net Banking
SRV-00582,2025-12-08,Dec,Pune,Baner Auto Care,Virtus,4.5,60985,Scheduled Maintenance,Engine,Out of Warranty,4990,2650,9020,9.7,4.5,No,4,UPI
SRV-00583,2025-10-05,Oct,Pune,Hadapsar Workshop,Taigun,4.5,60967,Repair,Engine,Out of Warranty,23990,4550,33680,19.0,4.5,No,10,Debit Card
SRV-00584,2025-10-13,Oct,Pune,Baner Auto Care,Polo,4.6,61886,Repair,Brakes,Out of Warranty,10890,4290,17910,10.0,5.0,No,13,Credit Card
SRV-00585,2025-10-03,Oct,Pune,Baner Auto Care,Taigun,2.0,11053,Inspection,Air Conditioning,Out of Warranty,970,1400,2800,1.3,4.4,No,10,UPI
SRV-00586,2025-11-04,Nov,Mumbai,Andheri Service Hub,Taigun,4.0,35071,Inspection,Engine,Under Warranty,840,820,1960,3.5,5.0,No,7,Credit Card
SRV-00587,2025-03-30,Mar,Nagpur,Hingna Service Hub,Virtus,3.5,57585,Emergency,Brakes,Under Warranty,7130,4200,13370,21.8,3.6,No,8,Cash
SRV-00588,2025-04-01,Apr,Nashik,Ambad Service Hub,Taigun,5.7,80454,Scheduled Maintenance,Brakes,Out of Warranty,5100,1860,8210,1.1,4.0,No,9,Debit Card
SRV-00589,2025-05-28,May,Pune,Wakad Service Hub,Polo,3.5,32069,Inspection,Tyres/Suspension,Out of Warranty,1900,1490,4000,1.0,4.5,No,10,Cash
SRV-00590,2025-09-17,Sep,Nagpur,Wardha Road Auto Care,Tiguan,0.4,1090,Scheduled Maintenance,Electrical,Under Warranty,2150,1170,3920,7.7,4.6,No,9,Debit Card
SRV-00591,2025-03-01,Mar,Nagpur,Wardha Road Auto Care,Taigun,4.1,54197,Repair,Brakes,Under Warranty,4230,2850,8350,15.3,4.7,No,8,UPI
SRV-00592,2025-01-28,Jan,Nagpur,Hingna Service Hub,Tiguan,3.0,47708,Emergency,Brakes,Under Warranty,7760,4740,14750,24.9,4.1,No,3,UPI
SRV-00593,2025-12-29,Dec,Pune,Hadapsar Workshop,Virtus,2.6,46705,Inspection,General Service,Under Warranty,460,1160,1910,2.4,5.0,No,4,Credit Card
SRV-00594,2025-12-11,Dec,Pune,Hadapsar Workshop,Virtus,0.2,4599,Scheduled Maintenance,General Service,Under Warranty,1390,1110,2950,4.8,4.6,No,6,UPI
SRV-00595,2025-11-04,Nov,Nashik,Ambad Service Hub,Taigun,6.5,50749,Scheduled Maintenance,Tyres/Suspension,Out of Warranty,5210,2250,8800,8.4,4.6,No,3,Net Banking
SRV-00596,2025-03-12,Mar,Pune,Baner Auto Care,Vento,3.7,30374,Scheduled Maintenance,Engine,Under Warranty,1800,1250,3600,11.7,4.6,No,7,Credit Card
SRV-00597,2025-05-02,May,Pune,Hadapsar Workshop,Polo,0.3,5089,Scheduled Maintenance,Tyres/Suspension,Under Warranty,1410,1390,3300,2.7,5.0,No,10,Credit Card
SRV-00598,2025-09-14,Sep,Pune,Wakad Service Hub,Virtus,2.1,44762,Inspection,General Service,Under Warranty,260,1100,1600,6.0,4.5,No,5,UPI
SRV-00599,2025-10-14,Oct,Mumbai,Thane Auto Care,Taigun,5.3,54556,Scheduled Maintenance,Brakes,Out of Warranty,5840,2430,9760,4.4,5.0,No,10,UPI
SRV-00600,2025-01-03,Jan,Nashik,Ambad Service Hub,Tiguan,7.6,96567,Scheduled Maintenance,Tyres/Suspension,Out of Warranty,8790,2550,13380,5.2,4.8,No,2,Cash
SRV-00601,2025-11-27,Nov,Mumbai,Andheri Service Hub,Virtus,3.2,29852,Scheduled Maintenance,Air Conditioning,Out of Warranty,4140,2420,7740,6.9,4.8,No,7,UPI
SRV-00602,2025-06-12,Jun,Pune,Baner Auto Care,Polo,5.4,70832,Emergency,Electrical,Out of Warranty,18210,5260,27690,26.0,3.8,No,8,UPI
SRV-00603,2025-07-27,Jul,Nashik,College Road Auto Care,Taigun,1.9,15293,Recall,Air Conditioning,Under Warranty,430,640,1260,8.8,4.5,No,6,Credit Card
SRV-00604,2025-06-05,Jun,Nashik,College Road Auto Care,Tiguan,1.0,5756,Recall,Tyres/Suspension,Out of Warranty,1480,1220,3190,9.8,4.8,No,9,Net Banking
SRV-00605,2025-12-20,Dec,Mumbai,Thane Auto Care,Tiguan,6.7,61911,Inspection,Engine,Out of Warranty,3270,1930,6140,10.1,4.7,No,6,Credit Card
SRV-00606,2025-08-14,Aug,Mumbai,Andheri Service Hub,Vento,7.5,71895,Scheduled Maintenance,General Service,Out of Warranty,2080,1490,4210,4.0,5.0,No,3,Credit Card
SRV-00607,2025-03-13,Mar,Nagpur,Wardha Road Auto Care,Taigun,2.8,36792,Inspection,General Service,Out of Warranty,830,1850,3160,1.3,4.7,No,3,Credit Card
SRV-00608,2025-11-24,Nov,Pune,Hadapsar Workshop,Tiguan,2.1,32074,Scheduled Maintenance,Brakes,Under Warranty,2230,1670,4600,7.0,4.1,Yes,8,Credit Card
SRV-00609,2025-12-08,Dec,Pune,Baner Auto Care,Tiguan,3.1,34198,Repair,Brakes,Out of Warranty,21030,2970,28320,13.7,4.3,No,12,Cash
SRV-00610,2025-06-04,Jun,Pune,Baner Auto Care,Polo,11.2,105220,Scheduled Maintenance,Brakes,Out of Warranty,3900,2560,7620,4.7,4.7,No,6,UPI
SRV-00611,2025-05-11,May,Mumbai,Navi Mumbai Workshop,Taigun,2.9,66509,Emergency,Engine,Out of Warranty,26660,8920,41980,28.5,4.0,No,10,UPI
SRV-00612,2025-09-04,Sep,Nagpur,Hingna Service Hub,Virtus,2.3,18715,Repair,Engine,Under Warranty,6380,2510,10490,17.0,4.8,No,4,UPI
SRV-00613,2025-08-28,Aug,Nagpur,Wardha Road Auto Care,Polo,6.9,114223,Repair,Brakes,Out of Warranty,11700,5790,20640,12.0,4.5,No,2,Cash
SRV-00614,2025-07-10,Jul,Pune,Hadapsar Workshop,Tiguan,5.8,39131,Scheduled Maintenance,Electrical,Out of Warranty,4320,2350,7870,6.7,4.8,No,5,Credit Card
SRV-00615,2025-03-24,Mar,Pune,Wakad Service Hub,Virtus,2.7,30396,Scheduled Maintenance,General Service,Under Warranty,1310,2150,4080,3.9,4.6,No,5,Cash
SRV-00616,2025-11-16,Nov,Pune,Wakad Service Hub,Vento,4.3,59800,Inspection,Brakes,Under Warranty,430,1140,1850,9.3,4.9,No,5,Credit Card
SRV-00617,2025-07-25,Jul,Nashik,Ambad Service Hub,Tiguan,5.8,74958,Repair,Tyres/Suspension,Under Warranty,5790,3200,10610,15.9,4.1,No,7,Credit Card
SRV-00618,2025-08-05,Aug,Pune,Baner Auto Care,Polo,7.7,118552,Scheduled Maintenance,Brakes,Out of Warranty,4470,2590,8330,2.1,5.0,No,2,Debit Card
SRV-00619,2025-05-12,May,Pune,Wakad Service Hub,Polo,6.5,83405,Inspection,General Service,Out of Warranty,1470,2110,4220,1.8,4.5,No,2,Debit Card
SRV-00620,2025-01-10,Jan,Pune,Hadapsar Workshop,Virtus,6.4,102981,Inspection,Electrical,Out of Warranty,1760,1740,4130,2.7,5.0,No,8,Credit Card
SRV-00621,2025-04-28,Apr,Mumbai,Thane Auto Care,Virtus,6.5,62329,Scheduled Maintenance,General Service,Out of Warranty,4660,2590,8560,1.0,5.0,No,16,UPI
SRV-00622,2025-07-20,Jul,Pune,Hadapsar Workshop,Vento,7.2,103830,Scheduled Maintenance,General Service,Out of Warranty,3300,3180,7650,7.9,4.6,No,5,UPI
SRV-00623,2025-11-23,Nov,Nagpur,Hingna Service Hub,Tiguan,3.0,58777,Scheduled Maintenance,General Service,Out of Warranty,6610,2350,10570,1.0,4.8,No,18,Net Banking
SRV-00624,2025-12-26,Dec,Nashik,College Road Auto Care,Virtus,2.9,39480,Scheduled Maintenance,General Service,Under Warranty,1660,1830,4120,8.4,4.0,Yes,4,UPI
SRV-00625,2025-05-14,May,Mumbai,Thane Auto Care,Tiguan,4.9,54866,Scheduled Maintenance,Electrical,Out of Warranty,6140,2320,9980,10.5,2.7,Yes,10,Credit Card
SRV-00626,2025-07-31,Jul,Mumbai,Andheri Service Hub,Vento,8.3,88148,Repair,Air Conditioning,Under Warranty,3250,3060,7450,14.0,3.9,No,4,UPI
SRV-00627,2025-07-15,Jul,Pune,Hadapsar Workshop,Polo,10.3,149325,Scheduled Maintenance,Brakes,Out of Warranty,4300,3200,8850,8.2,4.6,No,9,Net Banking
SRV-00628,2025-01-26,Jan,Nagpur,Hingna Service Hub,Vento,2.7,34136,Scheduled Maintenance,General Service,Under Warranty,1210,1240,2890,4.7,4.5,No,4,Credit Card
SRV-00629,2025-09-25,Sep,Nagpur,Hingna Service Hub,Virtus,6.4,58119,Recall,Electrical,Out of Warranty,1830,1060,3410,8.1,4.7,No,5,UPI
SRV-00630,2025-03-07,Mar,Nagpur,Hingna Service Hub,Taigun,4.0,37007,Inspection,Tyres/Suspension,Out of Warranty,3830,1440,6220,6.9,4.6,No,10,UPI
SRV-00631,2025-11-19,Nov,Pune,Wakad Service Hub,Virtus,2.1,35323,Scheduled Maintenance,General Service,Under Warranty,1200,1340,3000,1.1,4.7,No,8,Debit Card
SRV-00632,2025-04-13,Apr,Mumbai,Navi Mumbai Workshop,Virtus,4.0,19645,Inspection,General Service,Under Warranty,390,950,1580,2.2,4.6,No,4,Cash
SRV-00633,2025-09-27,Sep,Pune,Baner Auto Care,Virtus,3.3,36000,Scheduled Maintenance,General Service,Under Warranty,2140,1390,4170,2.2,5.0,No,7,UPI
SRV-00634,2025-09-22,Sep,Mumbai,Andheri Service Hub,Tiguan,1.4,27090,Scheduled Maintenance,General Service,Under Warranty,1220,1420,3120,1.0,4.6,No,7,Credit Card
SRV-00635,2025-07-31,Jul,Mumbai,Thane Auto Care,Tiguan,3.5,34894,Emergency,Engine,Under Warranty,7280,3970,13280,23.8,4.4,No,1,UPI
SRV-00636,2025-07-03,Jul,Pune,Baner Auto Care,Tiguan,3.5,51360,Scheduled Maintenance,Brakes,Out of Warranty,7120,2750,11650,1.0,4.0,No,11,Credit Card
SRV-00637,2025-03-21,Mar,Nagpur,Wardha Road Auto Care,Virtus,2.1,37268,Scheduled Maintenance,Brakes,Under Warranty,1580,1390,3500,2.2,4.4,No,12,Debit Card
SRV-00638,2025-06-22,Jun,Nagpur,Hingna Service Hub,Virtus,0.2,500,Scheduled Maintenance,General Service,Under Warranty,1660,1560,3800,8.8,3.8,No,3,UPI
SRV-00639,2025-11-16,Nov,Pune,Hadapsar Workshop,Taigun,5.0,72009,Repair,Air Conditioning,Out of Warranty,8720,4640,15760,21.6,3.7,No,5,Credit Card
SRV-00640,2025-04-10,Apr,Nashik,College Road Auto Care,Taigun,2.2,25846,Inspection,General Service,Out of Warranty,800,1360,2550,4.4,4.8,No,6,UPI
SRV-00641,2025-01-21,Jan,Mumbai,Andheri Service Hub,Vento,7.2,73493,Scheduled Maintenance,General Service,Out of Warranty,4460,2110,7750,3.3,4.6,No,15,UPI
SRV-00642,2025-12-05,Dec,Nashik,Ambad Service Hub,Virtus,3.4,30774,Repair,Electrical,Out of Warranty,11710,3730,18220,18.9,3.5,No,3,Credit Card
SRV-00643,2025-03-12,Mar,Pune,Baner Auto Care,Taigun,4.2,66045,Repair,Electrical,Under Warranty,4120,3060,8470,13.0,4.2,No,3,UPI
SRV-00644,2025-06-06,Jun,Nashik,College Road Auto Care,Virtus,3.5,44385,Repair,Electrical,Out of Warranty,9840,3920,16240,18.0,3.7,No,7,Credit Card
SRV-00645,2025-06-01,Jun,Nagpur,Wardha Road Auto Care,Virtus,0.1,4308,Repair,Electrical,Under Warranty,5000,2930,9360,13.2,4.3,No,13,Cash
SRV-00646,2025-10-31,Oct,Nashik,Ambad Service Hub,Vento,6.3,100544,Repair,General Service,Out of Warranty,7000,6510,15940,8.4,4.8,No,7,UPI
SRV-00647,2025-09-06,Sep,Nagpur,Wardha Road Auto Care,Polo,4.3,53336,Scheduled Maintenance,General Service,Under Warranty,770,1850,3090,4.5,4.2,No,8,Cash
SRV-00648,2025-11-01,Nov,Nagpur,Wardha Road Auto Care,Taigun,1.1,10697,Recall,General Service,Under Warranty,290,670,1130,6.7,5.0,No,8,Debit Card
SRV-00649,2025-07-13,Jul,Nashik,College Road Auto Care,Tiguan,1.8,31886,Scheduled Maintenance,General Service,Under Warranty,1820,1690,4140,4.7,4.4,Yes,6,UPI
SRV-00650,2025-07-14,Jul,Nashik,Ambad Service Hub,Vento,7.4,103885,Repair,Tyres/Suspension,Under Warranty,3720,3340,8330,14.7,4.1,No,7,Debit Card
SRV-00651,2025-03-15,Mar,Mumbai,Navi Mumbai Workshop,Virtus,4.7,58303,Repair,Brakes,Under Warranty,4880,2740,8990,18.7,3.9,No,4,Credit Card
SRV-00652,2025-07-23,Jul,Nagpur,Hingna Service Hub,Tiguan,8.2,130371,Repair,Air Conditioning,Out of Warranty,12910,6050,22370,17.8,4.2,No,8,Debit Card
SRV-00653,2025-04-27,Apr,Pune,Baner Auto Care,Vento,5.3,63905,Repair,Brakes,Out of Warranty,13870,5130,22420,16.4,4.6,No,3,Debit Card
SRV-00654,2025-07-13,Jul,Mumbai,Thane Auto Care,Virtus,3.6,48262,Scheduled Maintenance,General Service,Under Warranty,1930,1700,4280,6.2,4.5,No,7,Net Banking
SRV-00655,2025-12-01,Dec,Nagpur,Wardha Road Auto Care,Taigun,5.2,66310,Scheduled Maintenance,General Service,Under Warranty,1220,1560,3280,4.5,4.5,No,2,UPI
SRV-00656,2025-08-15,Aug,Nagpur,Wardha Road Auto Care,Virtus,4.5,41675,Recall,General Service,Out of Warranty,910,1030,2290,5.8,4.7,No,6,Net Banking
SRV-00657,2025-02-20,Feb,Mumbai,Thane Auto Care,Vento,5.8,45838,Inspection,General Service,Out of Warranty,1300,1740,3590,1.0,4.8,No,6,Debit Card
SRV-00658,2025-12-18,Dec,Nashik,Ambad Service Hub,Virtus,4.1,45160,Scheduled Maintenance,General Service,Out of Warranty,3410,2100,6500,3.9,4.8,No,8,Debit Card
SRV-00659,2025-11-27,Nov,Pune,Hadapsar Workshop,Virtus,1.8,36388,Scheduled Maintenance,General Service,Under Warranty,1180,1350,2990,5.9,5.0,No,5,Net Banking
SRV-00660,2025-11-23,Nov,Nashik,College Road Auto Care,Polo,6.8,78112,Scheduled Maintenance,Brakes,Out of Warranty,3850,2320,7280,7.8,4.8,No,6,UPI
SRV-00661,2025-12-02,Dec,Pune,Wakad Service Hub,Vento,4.3,61928,Emergency,Brakes,Under Warranty,6550,4400,12920,15.6,4.1,No,13,Debit Card
SRV-00662,2025-11-21,Nov,Nagpur,Hingna Service Hub,Taigun,3.3,43504,Scheduled Maintenance,Electrical,Out of Warranty,5040,2100,8430,5.1,3.9,No,7,Cash
SRV-00663,2025-10-03,Oct,Nagpur,Hingna Service Hub,Polo,5.8,64640,Scheduled Maintenance,Tyres/Suspension,Out of Warranty,5110,3330,9960,8.2,3.9,Yes,10,Credit Card
SRV-00664,2025-11-07,Nov,Pune,Baner Auto Care,Taigun,1.1,16597,Scheduled Maintenance,General Service,Out of Warranty,2890,2150,5950,6.5,4.4,No,5,UPI
SRV-00665,2025-02-03,Feb,Mumbai,Navi Mumbai Workshop,Taigun,4.4,47677,Scheduled Maintenance,General Service,Under Warranty,940,1650,3060,3.8,5.0,No,4,Debit Card
